generation,condition,mean_fitness,std_fitness,median_fitness,max_fitness,min_fitness,n_alive_at_end,mean_birth_weight_norm,mean_death_weight_norm,mean_weight_delta_frobenius
5,EVO_ONLY,2.55848753288658,0.5475504208988812,2.749271139463114,2.9726803277805915,0.6332718967018162,135,11.449369023640951,11.449369023640951,0.0
5,LEARN_ONLY,1.52353809501807,1.043473168887282,0.7851152029089172,2.97138526294725,0.22225756569025115,65,11.250779317220053,10.898253955841064,6.6427640720208485
5,EVO_LEARN,2.581013500711641,0.5649540038523219,2.778860200785714,2.9652693467538653,0.328853989429772,127,11.40935702641805,11.152380587259929,9.23187329530716
5,BASELINE,0.5755748160729359,0.11567032264200885,0.552853057428335,0.771241602134996,0.3010127587243915,0,11.339641571044922,11.339641571044922,0.0
6,EVO_ONLY,2.6531272120645495,0.5181572881173341,2.820947102825966,2.96532695734112,0.296007204633206,134,11.403478972117107,11.403478972117107,0.0
6,LEARN_ONLY,1.5123652100825786,1.0816106830560823,0.7327933820567698,2.975566728569847,0.26774024921937967,63,11.30018046061198,10.85790033340454,6.523156446715196
6,EVO_LEARN,2.583115525513077,0.6025006732710149,2.7942498444412465,2.9758907939445227,0.34936098534613846,134,11.379356530507406,11.207808208465575,9.899859122832616
6,BASELINE,0.5483994387396274,0.10740475329469983,0.5209074392984532,0.7578850582746754,0.22672410873486493,0,11.339641571044922,11.339641571044922,0.0
7,EVO_ONLY,2.495036481768384,0.5670216257364916,2.6955115680882553,2.953203211687727,0.39303707793975867,130,11.305127271016438,11.305127271016438,0.0
7,LEARN_ONLY,1.659249626348554,1.0131247400475374,1.9426470064703225,2.9483358043063834,0.2782021204384494,74,11.306805903116862,10.953340746561686,6.898705411354701
7,EVO_LEARN,2.4442053348712807,0.6806503555385336,2.6815663199508935,2.9617981802663156,0.30254820942878735,121,11.221583143870037,11.137927430470784,9.288375916878381
7,BASELINE,0.5428914550958871,0.11393023333064697,0.49734136871106904,0.880841123612045,0.23155032748749219,0,11.339641571044922,11.339641571044922,0.0
8,EVO_ONLY,2.47818130211373,0.6169002946802562,2.725810371612069,2.9678819468386473,0.2638437730529483,131,11.313172963460287,11.313172963460287,0.0
8,LEARN_ONLY,1.4958364449833867,1.0228320596526743,0.7850920712799838,2.9728776093215585,0.24662284538770715,62,11.188282642364502,10.87192440032959,6.40496457417806
8,EVO_LEARN,2.426991439113341,0.651030908939434,2.6866181341313737,2.9719174559259343,0.3577523194253445,124,11.251778151194255,11.152464917500813,9.538653697570165
