generation,condition,mean_fitness,std_fitness,median_fitness,max_fitness,min_fitness,n_alive_at_end,mean_birth_weight_norm,mean_death_weight_norm,mean_weight_delta_frobenius,mean_eta,std_eta,min_eta,max_eta,eta_fit_corr,mean_eta_top10,mean_eta_bot10,eta_top_bot_gap
16,LEARN_ONLY,1.7621057231143387,1.0920594456398434,2.2822498417837593,2.9768853772878647,0.3072404569387436,82,11.308686695098878,11.017765401204427,7.855543441375096,0.049976021076242126,0.0019222668192946672,0.0439249724149704,0.054153695702552795,0.08991713693565165,0.050969568888346355,0.0496511975924174,0.0013183712959289537
16,EVO_LEARN,2.8211275803031834,0.299619156922417,2.914559193930545,2.9757317092371895,0.3309715491682292,148,11.821118030548096,11.293047364552816,11.731780065695444,0.04930633497734865,0.0006547124060534363,0.048411983996629715,0.050981305539608,-0.1139621572710296,0.04920193130771319,0.04940006037553151,-0.00019812906781831868
16,BASELINE,0.5426577351203367,0.11083404706960222,0.4949999999999995,0.7630876860811356,0.22586400836861387,0,10.526885032653809,10.526885032653809,0.0,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0
17,EVO_ONLY,2.5618073155259466,0.6089971592774177,2.8448709367221223,2.9765563894033433,0.20750039835673723,136,10.85285104751587,10.85285104751587,0.0,0.04982592890659968,0.002717400951670863,0.046570077538490295,0.053130555897951126,-0.07467928017373533,0.04931361824274063,0.05004716962575913,-0.0007335513830184978
17,LEARN_ONLY,1.6613631191311966,1.0700961561061313,1.888694411199627,2.972810239028931,0.3720254709501221,72,11.22322224299113,10.975325616200765,7.171922816038132,0.04983282414575418,0.0020538171727624236,0.04533378779888153,0.05533886328339577,-0.0755169111807452,0.049277721593777336,0.050743683924277624,-0.001465962330500288
17,EVO_LEARN,2.575610877838283,0.6444978305150741,2.8736034474750207,2.977450657757463,0.37913634759481746,131,11.893258018493652,11.25843365987142,11.186219143867493,0.04919982947409153,0.0005116100700593113,0.04847443848848343,0.05071699619293213,-0.05334733474063496,0.04921861812472343,0.049207410464684166,1.1207660039265488e-05
17,BASELINE,0.5722008766494432,0.11782648005182841,0.524815678674628,0.7672519498342243,0.20370955161242207,0,10.526885032653809,10.526885032653809,0.0,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0
18,EVO_ONLY,2.6373374183828435,0.5107588955791927,2.809989079043435,2.9778082337379455,0.3594353089067671,143,10.808817354838054,10.808817354838054,0.0,0.049382690464456876,0.002713602834149739,0.04657111316919327,0.05308997631072998,-0.0961066274809205,0.0494233804444472,0.05016791994373004,-0.0007445394992828397
18,LEARN_ONLY,1.698740393863321,1.1061589439462078,2.152173827649431,2.977671298623085,0.20711022902059112,79,11.336328468322755,10.958462263743083,7.243781453768412,0.050057699953516326,0.001595977536524631,0.04602447897195816,0.05425764620304108,-0.0035759761830000372,0.050272027403116225,0.04977621585130691,0.0004958115518093123
18,EVO_LEARN,2.6430963079588294,0.5912867237420038,2.8378895474681975,2.9777919669151305,0.42872682776302085,139,11.881161352793375,11.275455544789633,11.254348665078481,0.04916143923997879,0.0003047248757353426,0.0484650656580925,0.05051418021321297,-0.01623691087631478,0.04923410067955653,0.04910893018047015,0.00012517049908638417
